timestamp,JNJ,PG,DUK,VIG,IEF
2023-07-25 04:00:00,172.39,153.78,95.29,166.95,96.03
2023-07-26 04:00:00,172.72,153.94,95.56,166.71,96.36
2023-07-27 04:00:00,173.69,152.11,94.44,165.39,95.31
2023-07-28 04:00:00,174.48,156.41,93.34,166.12,95.62
2023-07-31 04:00:00,167.53,156.3,93.62,166.25,95.74
2023-08-01 04:00:00,168.89,156.25,92.15,166.23,94.94
2023-08-02 04:00:00,169.91,156.59,92.53,164.94,94.75
2023-08-03 04:00:00,170.64,157.0,90.37,164.43,94.05
2023-08-04 04:00:00,169.04,155.28,89.46,163.08,95.05
2023-08-07 04:00:00,173.1,156.92,89.66,164.5,94.82
2023-08-08 04:00:00,173.18,157.09,92.13,163.44,95.3
2023-08-09 04:00:00,173.07,156.89,92.82,162.89,95.36
2023-08-10 04:00:00,172.17,156.11,92.91,162.89,94.63
2023-08-11 04:00:00,173.85,157.02,93.82,163.25,94.13
2023-08-14 04:00:00,173.44,155.79,92.79,163.69,93.98
2023-08-15 04:00:00,172.94,154.79,91.44,161.96,93.8
2023-08-16 04:00:00,172.39,153.21,91.7,161.18,93.44
2023-08-17 04:00:00,174.01,152.11,90.7,160.16,93.32
2023-08-18 04:00:00,172.49,152.54,91.2,160.44,93.6
2023-08-21 04:00:00,167.35,151.77,89.63,160.43,93.02
2023-08-22 04:00:00,166.02,151.83,89.59,159.99,93.06
2023-08-23 04:00:00,164.53,153.25,90.34,161.16,94.07
2023-08-24 04:00:00,165.09,152.54,89.99,159.65,93.72
2023-08-25 04:00:00,166.25,153.54,90.58,160.89,93.69
2023-08-28 04:00:00,164.29,153.78,90.02,161.65,93.95
2023-08-29 04:00:00,164.31,153.87,90.29,163.31,94.62
2023-08-30 04:00:00,163.73,154.04,89.95,163.77,94.61
2023-08-31 04:00:00,161.68,154.34,88.8,163.1,94.8
2023-09-01 04:00:00,160.48,154.51,87.93,163.5,93.98
2023-09-05 04:00:00,160.68,152.44,86.65,162.18,93.41
2023-09-06 04:00:00,158.01,152.14,87.49,161.52,93.17
2023-09-07 04:00:00,160.03,153.59,89.4,161.21,93.49
2023-09-08 04:00:00,160.56,152.93,91.02,161.4,93.51
2023-09-11 04:00:00,162.66,154.75,91.78,162.02,93.35
2023-09-12 04:00:00,163.58,152.03,92.12,161.33,93.48
2023-09-13 04:00:00,163.99,153.09,93.88,161.43,93.59
2023-09-14 04:00:00,163.74,154.77,95.45,162.8,93.38
2023-09-15 04:00:00,161.45,153.47,95.18,161.24,93.09
2023-09-18 04:00:00,162.47,154.05,94.96,161.56,93.18
2023-09-19 04:00:00,162.2,153.6,93.84,161.21,92.84
2023-09-20 04:00:00,162.91,153.47,94.37,160.39,92.77
2023-09-21 04:00:00,161.66,152.14,93.41,158.33,92.08
2023-09-22 04:00:00,160.5,151.58,93.33,158.13,92.44
2023-09-25 04:00:00,160.26,150.66,93.31,158.55,91.76
2023-09-26 04:00:00,159.02,149.32,91.12,156.27,91.73
2023-09-27 04:00:00,157.11,147.34,90.09,156.14,91.32
2023-09-28 04:00:00,156.88,146.34,88.68,156.1,91.57
2023-09-29 04:00:00,155.75,145.86,88.26,155.38,91.59
2023-10-02 04:00:00,155.15,145.19,85.44,154.9,90.61
2023-10-03 04:00:00,155.34,145.49,85.76,153.42,89.86
2023-10-04 04:00:00,155.52,145.97,86.12,154.15,90.43
2023-10-05 04:00:00,157.14,143.8,85.48,153.72,90.6
2023-10-06 04:00:00,157.64,144.09,86.92,155.01,90.07
2023-10-09 04:00:00,158.54,143.36,88.23,156.0,91.22
2023-10-10 04:00:00,158.36,144.78,88.94,156.73,91.04
2023-10-11 04:00:00,156.18,143.0,89.87,156.65,91.54
2023-10-12 04:00:00,156.33,143.32,88.03,155.83,90.66
2023-10-13 04:00:00,156.85,144.69,88.68,155.94,91.24
2023-10-16 04:00:00,157.53,146.07,89.46,157.34,90.7
2023-10-17 04:00:00,156.09,146.26,88.96,157.55,89.81
2023-10-18 04:00:00,152.73,150.03,88.19,156.17,89.39
2023-10-19 04:00:00,152.32,148.25,87.78,154.87,88.95
2023-10-20 04:00:00,153.0,148.05,87.03,153.4,89.465
2023-10-23 04:00:00,151.39,148.15,86.33,152.66,89.89
2023-10-24 04:00:00,151.23,149.9,87.76,153.57,90.05
2023-10-25 04:00:00,151.57,150.6,88.15,153.06,89.26
2023-10-26 04:00:00,149.0,149.8,89.2,151.55,89.94
2023-10-27 04:00:00,145.6,147.16,87.53,150.16,90.08
2023-10-30 04:00:00,147.03,149.26,87.9,151.9,89.78
2023-10-31 04:00:00,148.34,150.03,88.89,153.1,89.59
2023-11-01 04:00:00,148.69,149.61,89.54,153.85,90.37
2023-11-02 04:00:00,150.24,151.44,89.89,156.59,90.93
2023-11-03 04:00:00,151.34,150.07,90.28,157.74,91.63
2023-11-06 05:00:00,151.7,150.94,89.72,157.89,91.1
2023-11-07 05:00:00,150.9,150.59,89.28,157.91,91.62
2023-11-08 05:00:00,150.35,150.01,88.36,158.0,91.99
2023-11-09 05:00:00,147.42,150.35,87.96,156.91,91.08
2023-11-10 05:00:00,147.25,151.41,88.27,159.06,91.18
2023-11-13 05:00:00,147.63,152.46,87.02,158.91,91.13
2023-11-14 05:00:00,147.66,152.12,89.85,161.53,92.5
2023-11-15 05:00:00,148.8,151.42,89.61,162.06,91.78
2023-11-16 05:00:00,150.1,152.83,90.18,162.02,92.47
2023-11-17 05:00:00,149.79,151.07,90.01,162.17,92.53
2023-11-20 05:00:00,149.91,150.27,89.3,162.93,92.66
2023-11-21 05:00:00,151.12,149.61,89.88,162.92,92.78
2023-11-22 05:00:00,150.82,151.02,90.36,163.63,92.75
2023-11-24 05:00:00,152.5,151.38,90.74,164.01,92.27
2023-11-27 05:00:00,151.28,151.24,90.93,163.52,92.97
2023-11-28 05:00:00,151.63,152.29,91.13,163.39,93.38
2023-11-29 05:00:00,152.11,151.13,90.71,163.2,93.87
2023-11-30 05:00:00,154.66,153.52,92.28,164.53,93.41
2023-12-01 05:00:00,158.38,152.66,92.64,165.77,94.04
2023-12-04 05:00:00,158.88,152.06,92.73,165.6,93.65
2023-12-05 05:00:00,158.55,146.76,92.47,164.98,94.31
2023-12-06 05:00:00,156.62,146.65,93.94,164.66,94.7
2023-12-07 05:00:00,155.4,146.5,94.46,165.08,94.56
2023-12-08 05:00:00,154.42,145.15,94.39,165.45,93.95
2023-12-11 05:00:00,155.06,145.82,95.36,167.0,93.96
2023-12-12 05:00:00,155.07,145.94,95.33,167.68,94.16
2023-12-13 05:00:00,155.79,148.58,98.08,169.94,95.56
2023-12-14 05:00:00,156.87,144.66,98.31,170.17,96.07
2023-12-15 05:00:00,155.16,143.96,96.63,169.76,95.99
2023-12-18 05:00:00,155.44,146.17,97.17,170.39,95.78
2023-12-19 05:00:00,156.46,146.17,96.81,171.16,95.96
2023-12-20 05:00:00,153.27,143.91,95.68,168.68,96.43
